Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
18,010010,010010,0,0,0,10---,0,10,1.5,6.1x12p
19,010011,010011,0,0,0,10---,0,11,1.75,6.1x13p
20,010100,010100,0,0,1,10---,1,00,2,6.1x14p
21,010101,010101,0,0,1,10---,1,01,2.5,6.1x15p
22,010110,010110,0,0,1,10---,1,10,3,6.1x16p
23,010111,010111,0,0,1,10---,1,11,3.5,6.1x17p
24,011000,011000,1,0,2,110--,0,0-,4,6.1x18p
25,011001,011001,1,0,2,110--,0,1-,6,6.1x19p
26,011010,011010,1,0,3,110--,1,0-,8,6.1x1Ap
27,011011,011011,1,0,3,110--,1,1-,12,6.1x1Bp
28,011100,011100,2,0,4,1110-,0,--,16,6.1x1Cp
29,011101,011101,2,0,5,1110-,1,--,32,6.1x1Dp
30,011110,011110,3,0,6,11110,-,--,64,6.1x1Ep
31,011111,011111,4,0,8,11111,-,--,256,6.1x1Fp
32,100000,100000,5,1,-8,00000,-,--,nar,6.1x20p
33,100001,111111,4,1,8,11111,-,--,-256,6.1x21p
34,100010,111110,3,1,6,11110,-,--,-64,6.1x22p
35,100011,111101,2,1,5,1110-,1,--,-32,6.1x23p
36,100100,111100,2,1,4,1110-,0,--,-16,6.1x24p
37,100101,111011,1,1,3,110--,1,1-,-12,6.1x25p
38,100110,111010,1,1,3,110--,1,0-,-8,6.1x26p
39,100111,111001,1,1,2,110--,0,1-,-6,6.1x27p
40,101000,111000,1,1,2,110--,0,0-,-4,6.1x28p
41,101001,110111,0,1,1,10---,1,11,-3.5,6.1x29p
42,101010,110110,0,1,1,10---,1,10,-3,6.1x2Ap
43,101011,110101,0,1,1,10---,1,01,-2.5,6.1x2Bp
44,101100,110100,0,1,1,10---,1,00,-2,6.1x2Cp
45,101101,110011,0,1,0,10---,0,11,-1.75,6.1x2Dp
46,101110,110010,0,1,0,10---,0,10,-1.5,6.1x2Ep
47,101111,110001,0,1,0,10---,0,01,-1.25,6.1x2Fp
48,110000,110000,0,1,0,10---,0,00,-1,6.1x30p
49,110001,101111,-1,1,-1,01---,1,11,-0.875,6.1x31p
50,110010,101110,-1,1,-1,01---,1,10,-0.75,6.1x32p
51,110011,101101,-1,1,-1,01---,1,01,-0.625,6.1x33p
52,110100,101100,-1,1,-1,01---,1,00,-0.5,6.1x34p
53,110101,101011,-1,1,-2,01---,0,11,-0.4375,6.1x35p
54,110110,101010,-1,1,-2,01---,0,10,-0.375,6.1x36p
55,110111,101001,-1,1,-2,01---,0,01,-0.3125,6.1x37p
56,111000,101000,-1,1,-2,01---,0,00,-0.25,6.1x38p
57,111001,100111,-2,1,-3,001--,1,1-,-0.1875,6.1x39p
58,111010,100110,-2,1,-3,001--,1,0-,-0.125,6.1x3Ap
59,111011,100101,-2,1,-4,001--,0,1-,-0.09375,6.1x3Bp
60,111100,100100,-2,1,-4,001--,0,0-,-0.0625,6.1x3Cp
61,111101,100011,-3,1,-5,0001-,1,--,-0.03125,6.1x3Dp
62,111110,100010,-3,1,-6,0001-,0,--,-0.015625,6.1x3Ep
63,111111,100001,-4,1,-8,00001,-,--,-0.00390625,6.1x3Fp

"Generate Posit Lookup table for a POSIT<6,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000000,000000,-5,0,-16,00000,--,-,0,6.2x00p
1,000001,000001,-4,0,-16,00001,--,-,1.52587890625e-05,6.2x01p
2,000010,000010,-3,0,-12,0001-,0-,-,0.000244140625,6.2x02p
3,000011,000011,-3,0,-10,0001-,1-,-,0.0009765625,6.2x03p
4,000100,000100,-2,0,-8,001--,00,-,0.00390625,6.2x04p
5,000101,000101,-2,0,-7,001--,01,-,0.0078125,6.2x05p
6,000110,000110,-2,0,-6,001--,10,-,0.015625,6.2x06p
7,000111,000111,-2,0,-5,001--,11,-,0.03125,6.2x07p
8,001000,001000,-1,0,-4,01---,00,0,0.0625,6.2x08p
9,001001,001001,-1,0,-4,01---,00,1,0.09375,6.2x09p
10,001010,001010,-1,0,-3,01---,01,0,0.125,6.2x0Ap
11,001011,001011,-1,0,-3,01---,01,1,0.1875,6.2x0Bp
12,001100,001100,-1,0,-2,01---,10,0,0.25,6.2x0Cp
13,001101,001101,-1,0,-2,01---,10,1,0.375,6.2x0Dp
14,001110,001110,-1,0,-1,01---,11,0,0.5,6.2x0Ep
15,001111,001111,-1,0,-1,01---,11,1,0.75,6.2x0Fp
16,010000,010000,0,0,0,10---,00,0,1,6.2x10p
17,010001,010001,0,0,0,10---,00,1,1.5,6.2x11p
18,010010,010010,0,0,1,10---,01,0,2,6.2x12p
19,010011,010011,0,0,1,10---,01,1,3,6.2x13p
20,010100,010100,0,0,2,10---,10,0,4,6.2x14p
21,010101,010101,0,0,2,10---,10,1,6,6.2x15p
22,010110,010110,0,0,3,10---,11,0,8,6.2x16p
23,010111,010111,0,0,3,10---,11,1,12,6.2x17p
24,011000,011000,1,0,4,110--,00,-,16,6.2x18p
25,011001,011001,1,0,5,110--,01,-,32,6.2x19p
26,011010,011010,1,0,6,110--,10,-,64,6.2x1Ap
27,011011,011011,1,0,7,110--,11,-,128,6.2x1Bp
28,011100,011100,2,0,8,1110-,0-,-,256,6.2x1Cp
29,011101,011101,2,0,10,1110-,1-,-,1024,6.2x1Dp
30,011110,011110,3,0,12,11110,--,-,4096,6.2x1Ep
31,011111,011111,4,0,16,11111,--,-,65536,6.2x1Fp
32,100000,100000,5,1,-16,00000,--,-,nar,6.2x20p
33,100001,111111,4,1,16,11111,--,-,-65536,6.2x21p
34,100010,111110,3,1,12,11110,--,-,-4096,6.2x22p
35,100011,111101,2,1,10,1110-,1-,-,-1024,6.2x23p
36,100100,111100,2,1,8,1110-,0-,-,-256,6.2x24p
37,100101,111011,1,1,7,110--,11,-,-128,6.2x25p
38,100110,111010,1,1,6,110--,10,-,-64,6.2x26p
39,100111,111001,1,1,5,110--,01,-,-32,6.2x27p
40,101000,111000,1,1,4,110--,00,-,-16,6.2x28p
41,101001,110111,0,1,3,10---,11,1,-12,6.2x29p
42,101010,110110,0,1,3,10---,11,0,-8,6.2x2Ap
43,101011,110101,0,1,2,10---,10,1,-6,6.2x2Bp
44,101100,110100,0,1,2,10---,10,0,-4,6.2x2Cp
45,101101,110011,0,1,1,10---,01,1,-3,6.2x2Dp
46,101110,110010,0,1,1,10---,01,0,-2,6.2x2Ep
47,101111,110001,0,1,0,10---,00,1,-1.5,6.2x2Fp
48,110000,110000,0,1,0,10---,00,0,-1,6.2x30p
49,110001,101111,-1,1,-1,01---,11,1,-0.75,6.2x31p
50,110010,101110,-1,1,-1,01---,11,0,-0.5,6.2x32p
51,110011,101101,-1,1,-2,01---,10,1,-0.375,6.2x33p
52,110100,101100,-1,1,-2,01---,10,0,-0.25,6.2x34p
53,110101,101011,-1,1,-3,01---,01,1,-0.1875,6.2x35p
54,110110,101010,-1,1,-3,01---,01,0,-0.125,6.2x36p
55,110111,101001,-1,1,-4,01---,00,1,-0.09375,6.2x37p
56,111000,101000,-1,1,-4,01---,00,0,-0.0625,6.2x38p
57,111001,100111,-2,1,-5,001--,11,-,-0.03125,6.2x39p
58,111010,100110,-2,1,-6,001--,10,-,-0.015625,6.2x3Ap
59,111011,100101,-2,1,-7,001--,01,-,-0.0078125,6.2x3Bp
60,111100,100100,-2,1,-8,001--,00,-,-0.00390625,6.2x3Cp
61,111101,100011,-3,1,-10,0001-,1-,-,-0.0009765625,6.2x3Dp
62,111110,100010,-3,1,-12,0001-,0-,-,-0.000244140625,6.2x3Ep
63,111111,100001,-4,1,-16,00001,--,-,-1.52587890625e-05,6.2x3Fp

"Generate Posit Lookup table for a POSIT<6,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,000000,000000,-5,0,-32,00000,---,~,0,6.3x00p
1,000001,000001,-4,0,-32,00001,---,~,2.328306436538696289063e-10,6.3x01p
2,000010,000010,-3,0,-24,0001-,0--,~,5.9604644775390625e-08,6.3x02p
3,000011,000011,-3,0,-20,0001-,1--,~,9.5367431640625e-07,6.3x03p
4,000100,000100,-2,0,-16,001--,00-,~,1.52587890625e-05,6.3x04p
5,000101,000101,-2,0,-14,001--,01-,~,6.103515625e-05,6.3x05p
6,000110,000110,-2,0,-12,001--,10-,~,0.000244140625,6.3x06p
7,000111,000111,-2,0,-10,001--,11-,~,0.0009765625,6.3x07p
8,001000,001000,-1,0,-8,01---,000,~,0.00390625,6.3x08p
9,001001,001001,-1,0,-7,01---,001,~,0.0078125,6.3x09p
10,001010,001010,-1,0,-6,01---,010,~,0.015625,6.3x0Ap
11,001011,001011,-1,0,-5,01---,011,~,0.03125,6.3x0Bp
12,001100,001100,-1,0,-4,01---,100,~,0.0625,6.3x0Cp
13,001101,001101,-1,0,-3,01---,101,~,0.125,6.3x0Dp
14,001110,001110,-1,0,-2,01---,110,~,0.25,6.3x0Ep
15,001111,001111,-1,0,-1,01---,111,~,0.5,6.3x0Fp
16,010000,010000,0,0,0,10---,000,~,1,6.3x10p
17,010001,010001,0,0,1,10---,001,~,2,6.3x11p
18,010010,010010,0,0,2,10---,010,~,4,6.3x12p
19,010011,010011,0,0,3,10---,011,~,8,6.3x13p
20,010100,010100,0,0,4,10---,100,~,16,6.3x14p
21,010101,010101,0,0,5,10---,101,~,32,6.3x15p
22,010110,010110,0,0,6,10---,110,~,64,6.3x16p
23,010111,010111,0,0,7,10---,111,~,128,6.3x17p
24,011000,011000,1,0,8,110--,00-,~,256,6.3x18p
25,011001,011001,1,0,10,110--,01-,~,1024,6.3x19p
26,011010,011010,1,0,12,110--,10-,~,4096,6.3x1Ap
27,011011,011011,1,0,14,110--,11-,~,16384,6.3x1Bp
28,011100,011100,2,0,16,1110-,0--,~,65536,6.3x1Cp
29,011101,011101,2,0,20,1110-,1--,~,1048576,6.3x1Dp
30,011110,011110,3,0,24,11110,---,~,16777216,6.3x1Ep
31,011111,011111,4,0,32,11111,---,~,4294967296,6.3x1Fp
32,100000,100000,5,1,-32,00000,---,~,nar,6.3x20p
33,100001,111111,4,1,32,11111,---,~,-4294967296,6.3x21p
34,100010,111110,3,1,24,11110,---,~,-16777216,6.3x22p
35,100011,111101,2,1,20,1110-,1--,~,-1048576,6.3x23p
36,100100,111100,2,1,16,1110-,0--,~,-65536,6.3x24p
37,100101,111011,1,1,14,110--,11-,~,-16384,6.3x25p
38,100110,111010,1,1,12,110--,10-,~,-4096,6.3x26p
39,100111,111001,1,1,10,110--,01-,~,-1024,6.3x27p
40,101000,111000,1,1,8,110--,00-,~,-256,6.3x28p
41,101001,110111,0,1,7,10---,111,~,-128,6.3x29p
42,101010,110110,0,1,6,10---,110,~,-64,6.3x2Ap
43,101011,110101,0,1,5,10---,101,~,-32,6.3x2Bp
44,101100,110100,0,1,4,10---,100,~,-16,6.3x2Cp
45,101101,110011,0,1,3,10---,011,~,-8,6.3x2Dp
46,101110,110010,0,1,2,10---,010,~,-4,6.3x2Ep
47,101111,110001,0,1,1,10---,001,~,-2,6.3x2Fp
48,110000,110000,0,1,0,10---,000,~,-1,6.3x30p
49,110001,101111,-1,1,-1,01---,111,~,-0.5,6.3x31p
50,110010,101110,-1,1,-2,01---,110,~,-0.25,6.3x32p
51,110011,101101,-1,1,-3,01---,101,~,-0.125,6.3x33p
52,110100,101100,-1,1,-4,01---,100,~,-0.0625,6.3x34p
53,110101,101011,-1,1,-5,01---,011,~,-0.03125,6.3x35p
54,110110,101010,-1,1,-6,01---,010,~,-0.015625,6.3x36p
55,110111,101001,-1,1,-7,01---,001,~,-0.0078125,6.3x37p
56,111000,101000,-1,1,-8,01---,000,~,-0.00390625,6.3x38p
57,111001,100111,-2,1,-10,001--,11-,~,-0.0009765625,6.3x39p
58,111010,100110,-2,1,-12,001--,10-,~,-0.000244140625,6.3x3Ap
59,111011,100101,-2,1,-14,001--,01-,~,-6.103515625e-05,6.3x3Bp
60,111100,100100,-2,1,-16,001--,00-,~,-1.52587890625e-05,6.3x3Cp
61,111101,100011,-3,1,-20,0001-,1--,~,-9.5367431640625e-07,6.3x3Dp
62,111110,100010,-3,1,-24,0001-,0--,~,-5.9604644775390625e-08,6.3x3Ep
63,111111,100001,-4,1,-32,00001,---,~,-2.328306436538696289063e-10,6.3x3Fp

"Generate Posit Lookup table for a POSIT<7,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000000,0000000,-6,0,-5,000000,~,----,0,7.0x00p
1,0000001,0000001,-5,0,-5,000001,~,----,0.03125,7.0x01p
2,0000010,0000010,-4,0,-4,00001-,~,0---,0.0625,7.0x02p
3,0000011,0000011,-4,0,-4,00001-,~,1---,0.09375,7.0x03p
4,0000100,0000100,-3,0,-3,0001--,~,00--,0.125,7.0x04p
5,0000101,0000101,-3,0,-3,0001--,~,01--,0.15625,7.0x05p
6,0000110,0000110,-3,0,-3,0001--,~,10--,0.1875,7.0x06p
7,0000111,0000111,-3,0,-3,0001--,~,11--,0.21875,7.0x07p
8,0001000,0001000,-2,0,-2,001---,~,000-,0.25,7.0x08p
9,0001001,0001001,-2,0,-2,001---,~,001-,0.28125,7.0x09p
10,0001010,0001010,-2,0,-2,001---,~,010-,0.3125,7.0x0Ap
11,0001011,0001011,-2,0,-2,001---,~,011-,0.34375,7.0x0Bp
12,0001100,0001100,-2,0,-2,001---,~,100-,0.375,7.0x0Cp
13,0001101,0001101,-2,0,-2,001---,~,101-,0.40625,7.0x0Dp
14,0001110,0001110,-2,0,-2,001---,~,110-,0.4375,7.0x0Ep
15,0001111,0001111,-2,0,-2,001---,~,111-,0.46875,7.0x0Fp
16,0010000,0010000,-1,0,-1,01----,~,0000,0.5,7.0x10p
17,0010001,0010001,-1,0,-1,01----,~,0001,0.53125,7.0x11p
18,0010010,0010010,-1,0,-1,01----,~,0010,0.5625,7.0x12p
19,0010011,0010011,-1,0,-1,01----,~,0011,0.59375,7.0x13p
20,0010100,0010100,-1,0,-1,01----,~,0100,0.625,7.0x14p
21,0010101,0010101,-1,0,-1,01----,~,0101,0.65625,7.0x15p
22,0010110,0010110,-1,0,-1,01----,~,0110,0.6875,7.0x16p
23,0010111,0010111,-1,0,-1,01----,~,0111,0.71875,7.0x17p
24,0011000,0011000,-1,0,-1,01----,~,1000,0.75,7.0x18p
25,0011001,0011001,-1,0,-1,01----,~,1001,0.78125,7.0x19p
26,0011010,0011010,-1,0,-1,01----,~,1010,0.8125,7.0x1Ap
27,0011011,0011011,-1,0,-1,01----,~,1011,0.84375,7.0x1Bp
28,0011100,0011100,-1,0,-1,01----,~,1100,0.875,7.0x1Cp
29,0011101,0011101,-1,0,-1,01----,~,1101,0.90625,7.0x1Dp
30,0011110,0011110,-1,0,-1,01----,~,1110,0.9375,7.0x1Ep
31,0011111,0011111,-1,0,-1,01----,~,1111,0.96875,7.0x1Fp
32,0100000,0100000,0,0,0,10----,~,0000,1,7.0x20p
33,0100001,0100001,0,0,0,10----,~,0001,1.0625,7.0x21p
34,0100010,0100010,0,0,0,10----,~,0010,1.125,7.0x22p
35,0100011,0100011,0,0,0,10----,~,0011,1.1875,7.0x23p
36,0100100,0100100,0,0,0,10----,~,0100,1.25,7.0x24p
37,0100101,0100101,0,0,0,10----,~,0101,1.3125,7.0x25p
38,0100110,0100110,0,0,0,10----,~,0110,1.375,7.0x26p
39,0100111,0100111,0,0,0,10----,~,0111,1.4375,7.0x27p
40,0101000,0101000,0,0,0,10----,~,1000,1.5,7.0x28p
41,0101001,0101001,0,0,0,10----,~,1001,1.5625,7.0x29p
42,0101010,0101010,0,0,0,10----,~,1010,1.625,7.0x2Ap
43,0101011,0101011,0,0,0,10----,~,1011,1.6875,7.0x2Bp
44,0101100,0101100,0,0,0,10----,~,1100,1.75,7.0x2Cp
45,0101101,0101101,0,0,0,10----,~,1101,1.8125,7.0x2Dp
46,0101110,0101110,0,0,0,10----,~,1110,1.875,7.0x2Ep
47,0101111,0101111,0,0,0,10----,~,1111,1.9375,7.0x2Fp
48,0110000,0110000,1,0,1,110---,~,000-,2,7.0x30p
49,0110001,0110001,1,0,1,110---,~,001-,2.25,7.0x31p
50,0110010,0110010,1,0,1,110---,~,010-,2.5,7.0x32p
51,0110011,0110011,1,0,1,110---,~,011-,2.75,7.0x33p
52,0110100,0110100,1,0,1,110---,~,100-,3,7.0x34p
53,0110101,0110101,1,0,1,110---,~,101-,3.25,7.0x35p
54,0110110,0110110,1,0,1,110---,~,110-,3.5,7.0x36p
55,0110111,0110111,1,0,1,110---,~,111-,3.75,7.0x37p
56,0111000,0111000,2,0,2,1110--,~,00--,4,7.0x38p
57,0111001,0111001,2,0,2,1110--,~,01--,5,7.0x39p
58,0111010,0111010,2,0,2,1110--,~,10--,6,7.0x3Ap
59,0111011,0111011,2,0,2,1110--,~,11--,7,7.0x3Bp
60,0111100,0111100,3,0,3,11110-,~,0---,8,7.0x3Cp
61,0111101,0111101,3,0,3,11110-,~,1---,12,7.0x3Dp
62,0111110,0111110,4,0,4,111110,~,----,16,7.0x3Ep
63,0111111,0111111,5,0,5,111111,~,----,32,7.0x3Fp
64,1000000,1000000,6,1,-5,000000,~,----,nar,7.0x40p
65,1000001,1111111,5,1,5,111111,~,----,-32,7.0x41p
66,1000010,1111110,4,1,4,111110,~,----,-16,7.0x42p
67,1000011,1111101,3,1,3,11110-,~,1---,-12,7.0x43p
68,1000100,1111100,3,1,3,11110-,~,0---,-8,7.0x44p
69,1000101,1111011,2,1,2,1110--,~,11--,-7,7.0x45p
70,1000110,1111010,2,1,2,1110--,~,10--,-6,7.0x46p
71,1000111,1111001,2,1,2,1110--,~,01--,-5,7.0x47p
72,1001000,1111000,2,1,2,1110--,~,00--,-4,7.0x48p
73,1001001,1110111,1,1,1,110---,~,111-,-3.75,7.0x49p
74,1001010,1110110,1,1,1,110---,~,110-,-3.5,7.0x4Ap
75,1001011,1110101,1,1,1,110---,~,101-,-3.25,7.0x4Bp
76,1001100,1110100,1,1,1,110---,~,100-,-3,7.0x4Cp
77,1001101,1110011,1,1,1,110---,~,011-,-2.75,7.0x4Dp
78,1001110,1110010,1,1,1,110---,~,010-,-2.5,7.0x4Ep
79,1001111,1110001,1,1,1,110---,~,001-,-2.25,7.0x4Fp
80,1010000,1110000,1,1,1,110---,~,000-,-2,7.0x50p
81,1010001,1101111,0,1,0,10----,~,1111,-1.9375,7.0x51p
82,1010010,1101110,0,1,0,10----,~,1110,-1.875,7.0x52p
83,1010011,1101101,0,1,0,10----,~,1101,-1.8125,7.0x53p
84,1010100,1101100,0,1,0,10----,~,1100,-1.75,7.0x54p
85,1010101,1101011,0,1,0,10----,~,1011,-1.6875,7.0x55p
86,1010110,1101010,0,1,0,10----,~,1010,-1.625,7.0x56p
87,1010111,1101001,0,1,0,10----,~,1001,-1.5625,7.0x57p
88,1011000,1101000,0,1,0,10----,~,1000,-1.5,7.0x58p
89,1011001,1100111,0,1,0,10----,~,0111,-1.4375,7.0x59p
90,1011010,1100110,0,1,0,10----,~,0110,-1.375,7.0x5Ap
91,1011011,1100101,0,1,0,10----,~,0101,-1.3125,7.0x5Bp
92,1011100,1100100,0,1,0,10----,~,0100,-1.25,7.0x5Cp
93,1011101,1100011,0,1,0,10----,~,0011,-1.1875,7.0x5Dp
94,1011110,1100010,0,1,0,10----,~,0010,-1.125,7.0x5Ep
95,1011111,1100001,0,1,0,10----,~,0001,-1.0625,7.0x5Fp
96,1100000,1100000,0,1,0,10----,~,0000,-1,7.0x60p
97,1100001,1011111,-1,1,-1,01----,~,1111,-0.96875,7.0x61p
98,1100010,1011110,-1,1,-1,01----,~,1110,-0.9375,7.0x62p
99,1100011,1011101,-1,1,-1,01----,~,1101,-0.90625,7.0x63p
100,1100100,1011100,-1,1,-1,01----,~,1100,-0.875,7.0x64p
101,1100101,1011011,-1,1,-1,01----,~,1011,-0.84375,7.0x65p
102,1100110,1011010,-1,1,-1,01----,~,1010,-0.8125,7.0x66p
103,1100111,1011001,-1,1,-1,01----,~,1001,-0.78125,7.0x67p
104,1101000,1011000,-1,1,-1,01----,~,1000,-0.75,7.0x68p
105,1101001,1010111,-1,1,-1,01----,~,0111,-0.71875,7.0x69p
106,1101010,1010110,-1,1,-1,01----,~,0110,-0.6875,7.0x6Ap
107,1101011,1010101,-1,1,-1,01----,~,0101,-0.65625,7.0x6Bp
108,1101100,1010100,-1,1,-1,01----,~,0100,-0.625,7.0x6Cp
109,1101101,1010011,-1,1,-1,01----,~,0011,-0.59375,7.0x6Dp
110,1101110,1010010,-1,1,-1,01----,~,0010,-0.5625,7.0x6Ep
111,1101111,1010001,-1,1,-1,01----,~,0001,-0.53125,7.0x6Fp
112,1110000,1010000,-1,1,-1,01----,~,0000,-0.5,7.0x70p
113,1110001,1001111,-2,1,-2,001---,~,111-,-0.46875,7.0x71p
114,1110010,1001110,-2,1,-2,001---,~,110-,-0.4375,7.0x72p
115,1110011,1001101,-2,1,-2,001---,~,101-,-0.40625,7.0x73p
116,1110100,1001100,-2,1,-2,001---,~,100-,-0.375,7.0x74p
117,1110101,1001011,-2,1,-2,001---,~,011-,-0.34375,7.0x75p
118,1110110,1001010,-2,1,-2,001---,~,010-,-0.3125,7.0x76p
119,1110111,1001001,-2,1,-2,001---,~,001-,-0.28125,7.0x77p
120,1111000,1001000,-2,1,-2,001---,~,000-,-0.25,7.0x78p
121,1111001,1000111,-3,1,-3,0001--,~,11--,-0.21875,7.0x79p
122,1111010,1000110,-3,1,-3,0001--,~,10--,-0.1875,7.0x7Ap
123,1111011,1000101,-3,1,-3,0001--,~,01--,-0.15625,7.0x7Bp
124,1111100,1000100,-3,1,-3,0001--,~,00--,-0.125,7.0x7Cp
125,1111101,1000011,-4,1,-4,00001-,~,1---,-0.09375,7.0x7Dp
126,1111110,1000010,-4,1,-4,00001-,~,0---,-0.0625,7.0x7Ep
127,1111111,1000001,-5,1,-5,000001,~,----,-0.03125,7.0x7Fp

"Generate Posit Lookup table for a POSIT<7,1> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000000,0000000,-6,0,-10,000000,-,---,0,7.1x00p
1,0000001,0000001,-5,0,-10,000001,-,---,0.0009765625,7.1x01p
2,0000010,0000010,-4,0,-8,00001-,0,---,0.00390625,7.1x02p
3,0000011,0000011,-4,0,-7,00001-,1,---,0.0078125,7.1x03p
4,0000100,0000100,-3,0,-6,0001--,0,0--,0.015625,7.1x04p
5,0000101,0000101,-3,0,-6,0001--,0,1--,0.0234375,7.1x05p
6,0000110,0000110,-3,0,-5,0001--,1,0--,0.03125,7.1x06p
7,0000111,0000111,-3,0,-5,0001--,1,1--,0.046875,7.1x07p
8,0001000,0001000,-2,0,-4,001---,0,00-,0.0625,7.1x08p
9,0001001,0001001,-2,0,-4,001---,0,01-,0.078125,7.1x09p
10,0001010,0001010,-2,0,-4,001---,0,10-,0.09375,7.1x0Ap
11,0001011,0001011,-2,0,-4,001---,0,11-,0.109375,7.1x0Bp
12,0001100,0001100,-2,0,-3,001---,1,00-,0.125,7.1x0Cp
13,0001101,0001101,-2,0,-3,001---,1,01-,0.15625,7.1x0Dp
14,0001110,0001110,-2,0,-3,001---,1,10-,0.1875,7.1x0Ep
15,0001111,0001111,-2,0,-3,001---,1,11-,0.21875,7.1x0Fp
16,0010000,0010000,-1,0,-2,01----,0,000,0.25,7.1x10p
17,0010001,0010001,-1,0,-2,01----,0,001,0.28125,7.1x11p
18,0010010,0010010,-1,0,-2,01----,0,010,0.3125,7.1x12p
19,0010011,0010011,-1,0,-2,01----,0,011,0.34375,7.1x13p
20,0010100,0010100,-1,0,-2,01----,0,100,0.375,7.1x14p
21,0010101,0010101,-1,0,-2,01----,0,101,0.40625,7.1x15p
22,0010110,0010110,-1,0,-2,01----,0,110,0.4375,7.1x16p
23,0010111,0010111,-1,0,-2,01----,0,111,0.46875,7.1x17p
24,0011000,0011000,-1,0,-1,01----,1,000,0.5,7.1x18p
25,0011001,0011001,-1,0,-1,01----,1,001,0.5625,7.1x19p
26,0011010,0011010,-1,0,-1,01----,1,010,0.625,7.1x1Ap
27,0011011,0011011,-1,0,-1,01----,1,011,0.6875,7.1x1Bp
28,0011100,0011100,-1,0,-1,01----,1,100,0.75,7.1x1Cp
29,0011101,0011101,-1,0,-1,01----,1,101,0.8125,7.1x1Dp
30,0011110,0011110,-1,0,-1,01----,1,110,0.875,7.1x1Ep
31,0011111,0011111,-1,0,-1,01----,1,111,0.9375,7.1x1Fp
32,0100000,0100000,0,0,0,10----,0,000,1,7.1x20p
33,0100001,0100001,0,0,0,10----,0,001,1.125,7.1x21p
34,0100010,0100010,0,0,0,10----,0,010,1.25,7.1x22p
35,0100011,0100011,0,0,0,10----,0,011,1.375,7.1x23p
36,0100100,0100100,0,0,0,10----,0,100,1.5,7.1x24p
37,0100101,0100101,0,0,0,10----,0,101,1.625,7.1x25p
38,0100110,0100110,0,0,0,10----,0,110,1.75,7.1x26p
39,0100111,0100111,0,0,0,10----,0,111,1.875,7.1x27p
40,0101000,0101000,0,0,1,10----,1,000,2,7.1x28p
41,0101001,0101001,0,0,1,10----,1,001,2.25,7.1x29p
42,0101010,0101010,0,0,1,10----,1,010,2.5,7.1x2Ap
43,0101011,0101011,0,0,1,10----,1,011,2.75,7.1x2Bp
44,0101100,0101100,0,0,1,10----,1,100,3,7.1x2Cp
45,0101101,0101101,0,0,1,10----,1,101,3.25,7.1x2Dp
46,0101110,0101110,0,0,1,10----,1,110,3.5,7.1x2Ep
47,0101111,0101111,0,0,1,10----,1,111,3.75,7.1x2Fp
48,0110000,0110000,1,0,2,110---,0,00-,4,7.1x30p
49,0110001,0110001,1,0,2,110---,0,01-,5,7.1x31p
50,0110010,0110010,1,0,2,110---,0,10-,6,7.1x32p
51,0110011,0110011,1,0,2,110---,0,11-,7,7.1x33p
52,0110100,0110100,1,0,3,110---,1,00-,8,7.1x34p
53,0110101,0110101,1,0,3,110---,1,01-,10,7.1x35p
54,0110110,0110110,1,0,3,110---,1,10-,12,7.1x36p
55,0110111,0110111,1,0,3,110---,1,11-,14,7.1x37p
56,0111000,0111000,2,0,4,1110--,0,0--,16,7.1x38p
57,0111001,0111001,2,0,4,1110--,0,1--,24,7.1x39p
58,0111010,0111010,2,0,5,1110--,1,0--,32,7.1x3Ap
59,0111011,0111011,2,0,5,1110--,1,1--,48,7.1x3Bp
60,0111100,0111100,3,0,6,11110-,0,---,64,7.1x3Cp
61,0111101,0111101,3,0,7,11110-,1,---,128,7.1x3Dp
62,0111110,0111110,4,0,8,111110,-,---,256,7.1x3Ep
63,0111111,0111111,5,0,10,111111,-,---,1024,7.1x3Fp
64,1000000,1000000,6,1,-10,000000,-,---,nar,7.1x40p
65,1000001,1111111,5,1,10,111111,-,---,-1024,7.1x41p
66,1000010,1111110,4,1,8,111110,-,---,-256,7.1x42p
67,1000011,1111101,3,1,7,11110-,1,---,-128,7.1x43p
68,1000100,1111100,3,1,6,11110-,0,---,-64,7.1x44p
69,1000101,1111011,2,1,5,1110--,1,1--,-48,7.1x45p
70,1000110,1111010,2,1,5,1110--,1,0--,-32,7.1x46p
71,1000111,1111001,2,1,4,1110--,0,1--,-24,7.1x47p
72,1001000,1111000,2,1,4,1110--,0,0--,-16,7.1x48p
73,1001001,1110111,1,1,3,110---,1,11-,-14,7.1x49p
74,1001010,1110110,1,1,3,110---,1,10-,-12,7.1x4Ap
75,1001011,1110101,1,1,3,110---,1,01-,-10,7.1x4Bp
76,1001100,1110100,1,1,3,110---,1,00-,-8,7.1x4Cp
77,1001101,1110011,1,1,2,110---,0,11-,-7,7.1x4Dp
78,1001110,1110010,1,1,2,110---,0,10-,-6,7.1x4Ep
